data_no,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
14374,3-Sep-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 3 September 2020, in Cuauhtemoc area of Mexico City, Martial arts instructors held a march and blocked the Paseo de la Reforma and Avenida Insurgentes to demand promised financial support to face the economic crisis caused by the suspension of the activities of martial arts schools during the coronavirus pandemic. [size=no report]",0,1612548697
14412,2-Sep-20,2020,Riots,Mob violence,Rioters (Mexico),Vigilante Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Universal (Mexico),"On 2 September 2020, in Cuauhtemoc, Ciudad de Mexico, a group of people attempted to lynch a man who was stealing in Colonia San Rafael. Police officers intervened. [size=no report]",0,1612548697
14413,2-Sep-20,2020,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 2 September 2020, in Cuauhtemoc, Ciudad de Mexico, a group of people protested outside the National Palace demanding the intervention of the national government to free the mayor of Pantelho who was arrested after having been accused of sexual harassment. [size=no report]",0,1612548697
14419,2-Sep-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 2 September 2020, in Cuauhtemoc, Ciudad de Mexico, a group of street vendors protested demanding answers to their demands. They asked for a round table with the authorities. [size=no report]",0,1612548697
14448,2-Sep-20,2020,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Zeta Tijuana,"On 2 September 2020, in Cuauhtemoc area of Mexico City, a group of 15 family members of victims of violence locked themselves in a meeting room of the National Human Rights Commission as part of a protest to demand justice to be made in their cases and the CNDH to act. [size=15]",0,1612548697
14450,2-Sep-20,2020,Protests,Peaceful protest,Protesters (Mexico),Students (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 2 September 2020, in Cuauhtemoc, Ciudad de Mexico, around 50 people who have been rejected of the university admission processes protested demanding places to study. [size=around 50]",0,1612548697
14537,1-Sep-20,2020,Protests,Peaceful protest,Protesters (Mexico),Health Workers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Norte,"On 1 September 2020, in Cuauhtemoc, Ciudad de Mexico, around 200 doctors and nurses protested outside the National Palace demanding a meeting with President Lopez Obrador to discuss their labour conditions and to demand security measures for them to attend patients. They further rejected the criminalization of their work. [size=around 200]",0,1612548697
14593,31-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 31 August 2020, in Cuauhtemoc, Ciudad de Mexico, former workers of the Postal Service protested demanding the reassignment of their job position. The participants claim that they were dismissed under unjustified reason. [size=no report]",0,1612548697
14595,31-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 31 August 2020, in Cuauhtemoc, Ciudad de Mexico, residents of Tlahuelilpan in Hidalgo protested outside the National Palace demanding places to bury their relatives who died after having been infected with coronavirus. The participants claimed that in different cemeteries victims of the virus have been rejected. [size=no report]",0,1612548697
14602,31-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Siglo de Durango; Sintesis,"On 31 August 2020, in Cuauhtemoc, Ciudad de Mexico, teachers of long-distance taught programs protested outside the National Palace demanding a fixed payment of their salaries. [size=no report]",0,1612548697
14603,31-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 31 August 2020, in Cuauhtemoc, Ciudad de Mexico, workers from 10 different sectors marched demanding labor stability. [size=no report]",0,1612548697
14719,30-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),FRENA: National Front Against AMLO,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Silla Rota; El Norte,"On 30 August 2020, in Cuauhtemoc, Ciudad de Mexico, members of the FRENA movement protested demanding the resignation of President Lopez Obrador. [size=no report]",0,1612548697
14848,29-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 29 August 2020, in Cuauhtemoc, Ciudad de Mexico, armed men riding a motorcycle carried out a drive-by shooting against a man near the historic center. The victim was injured. 1 injured.",0,1612548697
15042,28-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Women (Mexico),Mexico,Distrito Federal,Coyoacan,Ciudad de Mexico - Coyoacan,19.3502,-99.1621,El Universal (Mexico),"On 28 August 2020, in Coyoacan, Ciudad de Mexico, a group of women protested outside the Faculty of Economics rejecting violence targeting women. [size=no report]",0,1612548697
15045,28-Aug-20,2020,Violence against civilians,Attack,Unidentified Armed Group (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Verdad,"On 28 August 2020, in Cuauhtemoc, Ciudad de Mexico, a former member of the Sinaloa Cartel who was also a witness protected by the government was shot dead in Colonia Guerrero. There is no information about the perpetrators. 1 fatality.",1,1612548697
15056,28-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 28 August 2020, in Cuauhtemoc, Ciudad de Mexico, at least 50 sport teachers protested demanding improvement of their work benefits. [size=at least]",0,1612548697
15058,28-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 28 August 2020, in Cuauhtemoc, Ciudad de Mexico, merchants protested demanding financial support to recover from the crisis caused by the coronavirus pandemic. [size=no report]",0,1612548697
15114,27-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),MAS: Movement to Socialism; MTS: Movement of Socialist Workers; Labour Group (Mexico); GAR: Revolutionary Action Group; LUS: Socialist United League,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 27 August 2020, in Cuauhtemoc, Ciudad de Mexico, workers, members of MAS, MTS, LUS, and GAR protested outside the Unites States embassy rejecting the intervention of this country in Mexico. [size=no report]",0,1612548697
15126,27-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),CIG: Indigenous Government Council; Indigenous Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 27 August 2020, in Cuauhtemoc, Ciudad de Mexico, members of the Indigenous Government Council protested rejecting the presence of military officials in their communities. [size=no report]",0,1612548697
15290,26-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),CETEG: Guerrero State Coordinating Committee of Education Workers; Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 26 August 2020, in Cuauhtemoc, Ciudad de Mexico, teachers and members of the CETEG participated in a sit-in outside the National Palace demanding the levelling of their salaries. [size=no report]",0,1612548697
15434,25-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,SDP Noticias,"On 25 August 2020, in Cuauhtemoc area of Mexico City, about 50 people who work in circuses demonstrated in front of the National Palace to ask to be allowed to reopen. The circuses were closed as a preventive measure against the spread of the coronavirus. [size=no report]",0,1612548697
15443,25-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Silla Rota,"On 25 August 2020, in Cuauhtemoc area of Mexico City, members of the Mexican Electricians' Union and the National Assembly of Electrical Energy Users held a march to demand the re-nationalization of the electrical industry, a fair electrical tariff and the cancellation of debts. [size=no report]",0,1612548697
15449,25-Aug-20,2020,Riots,Violent demonstration,Rioters (Mexico),,Mexico,Distrito Federal,Miguel Hidalgo,Ciudad de Mexico - Miguel Hidalgo,19.4073,-99.1908,La Silla Rota,"On 25 August 2020, in Miguel Hidalgo area of Mexico City, a group of people demonstrated near the Hospital Espanol and set barricades on fire. They demonstrated over the death of a woman activist during surgery, allegedly due to medical negligence. [size=no report]",0,1612548697
15453,25-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Former Police Forces of Mexico (2018-),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Silla Rota,"On 25 August 2020, in Cuauhtemoc area of Mexico City, approximately 50 retired police officers demonstrated in the Colonia Buenavista in front of the Preventive Police Fund (Caja de Prevencion de la Policia Preventiva) to demand the payment of their pensions and benefits. [size=approximately 50]",0,1612548697
15470,24-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Students (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,24 Horas (Mexico),"On 24 August 2020, in Cuauhtemoc area of Mexico City, a group of rural normalists students (teaching school) marched from the Angel of Independence to Donceles. The reason for the protest is not known. [size=no report]",0,1612548698
15487,24-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Women (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Universal (Mexico),"On 24 August 2020, in Cuauhtemoc area of Mexico City, feminist groups demonstrated in front of the Attorney General's Office to demand justice for the murder of a woman in 2016 and to call for the investigation of gender based violence cases and femicide. [size=no report]",0,1612548698
15490,24-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 24 August 2020, in Cuauhtemoc area of Mexico City, retirees and pensioners of Mexicana de Aviacion closed the accesses of the Tax Administration Service of the SAT to protest against the embargo of two warehouses and to establish a dialogue with the authorities. [size=no report]",0,1612548698
15494,24-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Students (Mexico); CNTE: National Coordination of Education Workers; Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 24 August 2020, in Cuauhtemoc area of Mexico City, a group of family members and students from the Fraccionamiento Valle de los Sauces in Atlacomulco demonstrated in front of the National Palace to denounce that they do not have electricity and therefore cannot follow school year. Due to the coronavirus, classes are being held from home. Teachers affiliated to the CNTE joined the protest against distance teaching. [size=no report]",0,1612548698
15628,23-Aug-20,2020,Riots,Mob violence,Rioters (Mexico),Vigilante Group (Mexico),Mexico,Distrito Federal,Iztacalco,Ciudad de Mexico - Iztacalco,19.3959,-99.0976,Tribuna Campeche,"Around 23 August 2020 (as reported), in Iztacalco area of Mexico City, a video was released showing a group of people beating up a man who allegedly tried to steal a woman's phone. [size=no report]",0,1612548698
16042,21-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Venustiano Carranza,Ciudad de Mexico - Venustiano Carranza,19.4193,-99.1137,El Norte,"On 21 August 2020, in Venustiano Carranza, Ciudad de Mexico, workers of the Airport customs services protested rejecting the recent dismissals of workers. [size=no report]",0,1612548698
16051,21-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 21 August 2020, in Cuauhtemoc, Ciudad de Mexico, leaders of drum bands protested outside the National Palace demanding to be included in the programs to receive financial aid to cope with the fallbacks of coronavirus lockdown measures. [size=no report]",0,1612548698
16143,20-Aug-20,2020,Battles,Armed clash,La Union Tepito,,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Verdad,"Around 20 August 2020 (as reported), in Cuauhtemoc, Ciudad de Mexico, a video was published showing how members of La Union Tepito attacked a member of a rival gang at a carwash in Colonia Peralvillo. The victim of the attack died. According to reports, the objective of the attack was to send a threatening message against this gang that operates in the area controlled by La Union Tepito.1 fatality.",1,1612548698
16175,20-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico); Indigenous Group (Mexico); Students (Mexico); Women (Mexico),Mexico,Distrito Federal,Tlalpan,Ciudad de Mexico - Tlalpan,19.2883,-99.1671,El Norte,"On 20 August 2020, in Tlalpan, Ciudad de Mexico, craft-makers, members of indigenous groups, and students from rural normal schools protested at the toll of Mexico to Cuernavaca highway to demand justice to be made for cases of femicide. [size=no report]",0,1612548698
16192,20-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Benito Juarez,Ciudad de Mexico - Benito Juarez,19.372,-99.1579,Milenio,"On 20 August 2020, in Benito Juarez, Ciudad de Mexico, a group of residents protested demanding the local government to repair the damages caused to the infrastructure after a car accident. [size=no report]",0,1612548698
16252,19-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),FRENA: National Front Against AMLO,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 19 August 2020, in Cuauhtemoc, Ciudad de Mexico, members of the FRENA movement from Atizapan, Tlalnepantla, and Ecatepec municipalities protested outside the National Palace demanding the resignation of President Lopez Obrador. [size=no report]",0,1612548698
16273,19-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Mixtec Indigenous Group (Mexico); Women (Mexico); Labour Group (Mexico),Mexico,Distrito Federal,Tlalpan,Ciudad de Mexico - Tlalpan,19.2883,-99.1671,Milenio,"On 19 August 2020, in Tlalpan, Ciudad de Mexico, artisans from the Triqui indigenous community (Mixtec indigenous group) blocked the toll booth on the Mexico-Cuernavaca highway as part of a protest organized to ask housing support from the federal government and permits to occupy commercial places to resume professional activities that were suspended due to the coronavirus pandemic. Family members denouncing inactions against victims of femicide joined the protest. [size=no report]",0,1612548698
16278,19-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),CNTE: National Coordination of Education Workers; Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 19 August 2020, in Cuauhtemoc, Ciudad de Mexico, teachers and members of the CNTE protested demanding job positions for students that graduated from normal schools. [size=no report]",0,1612548698
16281,19-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),MORENA: National Regeneration Movement,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Norte,"On 19 August 2020, in Cuauhtemoc, Ciudad de Mexico, around 200 members of MORENA protested outside the party's national offices demanding the exclusion of former members of the PRI and PAN parties being considered as mayor candidates. [size=around 200]",0,1612548698
16282,19-Aug-20,2020,Violence against civilians,Attack,La Union Tepito,,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Universal (Mexico),"On 19 August 2020, in Cuauhtemoc, Ciudad de Mexico, members of La Union Tepito riding a motorcycle carried out a drive-by shooting against a man. The victim died. 1 fatality.",1,1612548698
16503,17-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Police Forces of Mexico (2018-); Former Police Forces of Mexico (2018-); Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 17 August 2020, in Cuauhtemoc, Ciudad de Mexico, former police officers, police officers and firemen staged a protest in Avenida Insurgentes to demand the reopening of the Prevention Fund of the Auxiliary Police and the payment of their benefits that they have not received for 4 months. [size=no report]",0,1612548698
16585,16-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Miguel Hidalgo,Ciudad de Mexico - Miguel Hidalgo,19.4073,-99.1908,La Silla Rota,"On 16 August 2020, in Miguel Hidalgo, Ciudad de Mexico, residents and environmental activists gathered to protest against garden renovation in Chapultepec. They protested against paving and the cutting of trees. [size=no report]",0,1612548698
16586,16-Aug-20,2020,Riots,Violent demonstration,Rioters (Mexico),Women (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Tabasco Hoy; El Siglo de Durango,"On 16 August 2020, in Cuauhtemoc, Ciudad de Mexico, feminist groups gathered to demand justice for the femicide of an IPN student killed in 2016 and demonstrated against gender based violence. They marched in Glorieta de los Insurgentes. At some point a group of rioters clashed with police officers. Rioters threw firecrackers at police. One police officer was injured. [size=no report]",0,1612548698
16713,15-Aug-20,2020,Violence against civilians,Attack,Unidentified Gang (Mexico),,Mexico,Distrito Federal,Iztapalapa,Ciudad de Mexico - Iztapalapa,19.359,-99.0926,La Verdad; 24 Horas (Mexico),"On 15 August 2020, in Iztapalapa, Ciudad de Mexico, armed men driving a vehicle carried out a drive-by shooting against a group of people who were outside stores in Colonia Chinampac de Juarez. Four people were injured and three men were arrested. 4 injured.",0,1612548698
16714,15-Aug-20,2020,Riots,Mob violence,Rioters (Mexico),Vigilante Group (Mexico),Mexico,Distrito Federal,Venustiano Carranza,Ciudad de Mexico - Venustiano Carranza,19.4193,-99.1137,La Jornada; 24 Horas (Mexico),"On 15 August 2020, in Venustiano Carranza, Ciudad de Mexico, a group of people attempted to lynch a man who was caught stealing. The man was beaten. Police officers intervened. [size=no report]",0,1612548698
16806,14-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Jornada,"On 14 August 2020, in Cuauhtemoc, Ciudad de Mexico, a group of ten members of a civil society group of people who have lost their houses protested outside the Human Rights Commission. They denounced the violation of rights by government officers. [size=10]",0,1612548698
16905,13-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),CNTE: National Coordination of Education Workers; Teachers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 13 August 2020, in Cuauhtemoc, Ciudad de Mexico, at least 70 teachers and members of the CNTE protested demanding the payment and the revaluation of their salaries. [size=at least]",0,1612548698
16922,13-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 13 August 2020, in Cuauhtemoc, Ciudad de Mexico, a group of residents from Santiago Mexquititlan in Queretaro protested outside the National Palace demanding the intervention of the federal government to solve a conflict over the use of land. [size=no report]",0,1612548699
16997,12-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Taxi/Bus Drivers (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,La Silla Rota,"On 12 August 2020, in Cuauhtemoc, Ciudad de Mexico, former workers of bus services protested complaining about the interest rate that they have to pay for housing credits and demanded better social benefits. [size=no report]",0,1612548699
17001,12-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Universal (Mexico),"On 12 August 2020, in Cuauhtemoc, Ciudad de Mexico, around 300 theatre artists participated in a protest to demand financial support to face the economic crisis caused by the coronavirus pandemic. [size=no report]",0,1612548699
17023,11-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),,Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 11 August 2020, in Cuauhtemoc area of Mexico City, group of people demonstrated in the Zocalo to demand the capital's government to help them find a minor who disappeared on 9 June. [size=no report]",0,1612548699
17025,11-Aug-20,2020,Protests,Peaceful protest,Protesters (Mexico),Labour Group (Mexico),Mexico,Distrito Federal,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,Milenio,"On 11 August 2020, in Cuauhtemoc area of Mexico City, about 400 sanitation workers demonstrated to demand greater job stability, better wages and 500 trucks to work. [size=about 400]",0,1612548699
